design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0493,2,2,2,1,2,2,1,2,42.091,1300
0494,2,2,2,1,2,2,2,1,44.233,1301
0495,2,2,2,1,2,2,2,2,45.472,1335
0496,2,2,2,2,1,1,1,1,42.966,1066
0497,2,2,2,2,1,1,1,2,44.583,1124
0498,2,2,2,2,1,1,2,1,43.576,1095
0499,2,2,2,2,1,1,2,2,44.113,1161
0500,2,2,2,2,1,2,1,1,41.825,1115
0501,2,2,2,2,1,2,1,2,43.306,1137
0502,2,2,2,2,1,2,2,1,44.201,1180
0503,2,2,2,2,1,2,2,2,44.579,1167
0504,2,2,2,2,2,1,1,1,43.402,1232
0505,2,2,2,2,2,1,1,2,42.364,1251
0506,2,2,2,2,2,1,2,1,44.132,1224
0507,2,2,2,2,2,1,2,2,43.802,1288
0508,2,2,2,2,2,2,1,1,43.725,1230
0509,2,2,2,2,2,2,1,2,43.982,1290
0510,2,2,2,2,2,2,2,1,44.053,1300
0511,2,2,2,2,2,2,2,2,44.187,1286
0512,2,2,2,4,1,1,1,1,37.532,1090
0513,2,2,2,4,1,1,1,2,36.221,1133
0514,2,2,2,4,1,1,2,1,36.884,1128
0515,2,2,2,4,1,1,2,2,36.783,1195
0516,2,2,2,4,1,2,1,1,37.507,1124
0517,2,2,2,4,1,2,1,2,37.302,1200
0518,2,2,2,4,1,2,2,1,38.494,1183
0519,2,2,2,4,1,2,2,2,39.735,1189
0520,2,2,2,4,2,1,1,1,35.551,1299
0521,2,2,2,4,2,1,1,2,36.283,1306
0522,2,2,2,4,2,1,2,1,36.246,1355
0523,2,2,2,4,2,1,2,2,36.227,1394
0524,2,2,2,4,2,2,1,1,35.521,1341
